2020-04-13 19:44:14,066 INFO  Logger.cs: 70 - 
2020-04-13 20:02:04,363 INFO  ExportHelperExtension.cs: 1142 - Found 23 in simplified model
2020-04-13 20:02:04,363 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in simplified model
2020-04-13 20:02:04,364 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-04-13 20:02:04,364 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-04-13 20:02:04,364 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from simplified model.iam-1
2020-04-13 20:02:04,365 INFO  ExportHelperExtension.cs: 1142 - Found 45 in simplified model.iam-1
2020-04-13 20:02:04,365 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in simplified model.iam-1
2020-04-13 20:02:06,683 INFO  SwAddin.cs: 316 - Loading config tree
2020-04-13 20:02:06,689 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-04-13 20:02:06,693 INFO  SwAddin.cs: 321 - Showing property manager
2020-04-13 20:03:03,903 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:04,432 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:05,227 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:05,569 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:05,951 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:06,661 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:09,992 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:10,026 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:14,589 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:15,125 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:03:44,390 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:04:02,439 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:04:28,505 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:04:57,943 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:04:59,455 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:05:22,722 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:05:30,024 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:05:43,712 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2020-04-13 20:05:48,959 INFO  ExportHelperExtension.cs: 338 - Creating joint wheel 1
2020-04-13 20:05:48,968 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2020-04-13 20:05:48,969 INFO  ExportHelperExtension.cs: 1414 - Fixing 45
2020-04-13 20:05:48,969 INFO  ExportHelperExtension.cs: 1422 - Component 45 is already fixed
2020-04-13 20:05:48,970 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-04-13 20:05:48,970 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-04-13 20:05:48,971 INFO  ExportHelperExtension.cs: 1414 - Fixing 46
2020-04-13 20:05:48,971 INFO  ExportHelperExtension.cs: 1422 - Component 46 is already fixed
2020-04-13 20:05:49,030 INFO  ExportHelperExtension.cs: 835 - R1: 0, 0
2020-04-13 20:05:49,030 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-04-13 20:05:49,031 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-04-13 20:05:49,031 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-04-13 20:05:50,432 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child wheel 1 failed
2020-04-13 20:05:52,757 INFO  ExportHelperExtension.cs: 338 - Creating joint wheel 2
2020-04-13 20:05:52,758 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2020-04-13 20:05:52,759 INFO  ExportHelperExtension.cs: 1414 - Fixing 45
2020-04-13 20:05:52,759 INFO  ExportHelperExtension.cs: 1422 - Component 45 is already fixed
2020-04-13 20:05:52,760 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-04-13 20:05:52,760 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-04-13 20:05:52,761 INFO  ExportHelperExtension.cs: 1414 - Fixing 46
2020-04-13 20:05:52,761 INFO  ExportHelperExtension.cs: 1422 - Component 46 is already fixed
2020-04-13 20:05:52,792 INFO  ExportHelperExtension.cs: 835 - R1: 0, 0
2020-04-13 20:05:52,792 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-04-13 20:05:52,793 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-04-13 20:05:52,793 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-04-13 20:05:53,482 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child wheel 2 failed
2020-04-13 20:05:55,921 INFO  ExportHelperExtension.cs: 338 - Creating joint wheel 3
2020-04-13 20:05:55,922 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2020-04-13 20:05:55,922 INFO  ExportHelperExtension.cs: 1414 - Fixing 45
2020-04-13 20:05:55,923 INFO  ExportHelperExtension.cs: 1422 - Component 45 is already fixed
2020-04-13 20:05:55,923 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-04-13 20:05:55,924 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-04-13 20:05:55,924 INFO  ExportHelperExtension.cs: 1414 - Fixing 46
2020-04-13 20:05:55,925 INFO  ExportHelperExtension.cs: 1422 - Component 46 is already fixed
2020-04-13 20:05:55,958 INFO  ExportHelperExtension.cs: 835 - R1: 0, 0
2020-04-13 20:05:55,959 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-04-13 20:05:55,959 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-04-13 20:05:55,960 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-04-13 20:05:56,657 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child wheel 3 failed
2020-04-13 20:05:59,100 INFO  ExportHelperExtension.cs: 338 - Creating joint wheel 4
2020-04-13 20:05:59,101 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2020-04-13 20:05:59,101 INFO  ExportHelperExtension.cs: 1414 - Fixing 45
2020-04-13 20:05:59,102 INFO  ExportHelperExtension.cs: 1422 - Component 45 is already fixed
2020-04-13 20:05:59,102 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-04-13 20:05:59,103 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-04-13 20:05:59,103 INFO  ExportHelperExtension.cs: 1414 - Fixing 46
2020-04-13 20:05:59,104 INFO  ExportHelperExtension.cs: 1422 - Component 46 is already fixed
2020-04-13 20:05:59,136 INFO  ExportHelperExtension.cs: 835 - R1: 0, 0
2020-04-13 20:05:59,136 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-04-13 20:05:59,137 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-04-13 20:05:59,138 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-04-13 20:05:59,868 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child wheel 4 failed
2020-04-13 20:06:02,972 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simplified model
2020-04-13 20:06:03,077 INFO  ExportHelperExtension.cs: 1142 - Found 30 in simplified model
2020-04-13 20:06:03,078 INFO  ExportHelperExtension.cs: 1152 - Found 5 features of type [CoordSys] in simplified model
2020-04-13 20:06:03,079 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-04-13 20:06:03,382 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-04-13 20:06:03,383 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simplified model.iam-1
2020-04-13 20:06:03,384 INFO  ExportHelperExtension.cs: 1142 - Found 45 in simplified model.iam-1
2020-04-13 20:06:03,385 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simplified model.iam-1
2020-04-13 20:06:03,387 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from simplified model
2020-04-13 20:06:03,388 INFO  ExportHelperExtension.cs: 1142 - Found 30 in simplified model
2020-04-13 20:06:03,389 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in simplified model
2020-04-13 20:06:03,389 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-04-13 20:06:03,390 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-04-13 20:06:03,390 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from simplified model.iam-1
2020-04-13 20:06:03,391 INFO  ExportHelperExtension.cs: 1142 - Found 45 in simplified model.iam-1
2020-04-13 20:06:03,392 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in simplified model.iam-1
2020-04-13 20:06:03,503 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-04-13 20:08:29,874 INFO  AssemblyExportForm.cs: 254 - Completing URDF export
2020-04-13 20:08:30,020 INFO  Serialization.cs: 275 - URDF Configuration found
